QuestionNumber,ToReplace,ReplaceWith,TypeOfReplacement,AddedBy
Question 2801,nauseaus,nauseous,typo,JP
Question 2803,horses,horse,plural,JP
Question 2804,have to,has to,tense,JP
Question 2806,baskets,basket,plural,JP
Question 2806,bags,bag,plural,JP
Question 2807,a bitch,bitch,typo,JP
Question 2811,folks,folk,plural,JP
Question 2811,slick,slickers,plural,JP
Question 2812,spie,spy,typo,JP
Question 2814,chivelry,chivalry,typo,JP
Question 2815,stuttering,stutter,tense,JP
Question 2815,roise,noise,typo,JP
Question 2817,imress,impress,typo,JP
Question 2818,tires,tire,plural,JP
Question 2818,helmut,helmet,typo,JP
Question 282,cant,can't,typo,AZ
Question 282,couldnt,couldn't,typo,AZ
Question 282,didnt,didn't,typo,AZ
Question 282,wouldnt',wouldn't,typo,AZ
Question 2820,waves,wave,plural,JP
Question 2822,lare,lair,typo,JP
Question 2823,icecream,ice cream,typo,JP
Question 2824,dred,dread,typo,JP
Question 2825,instruction,instructions,plural,JP
Question 2825,tags,tag,plural,JP
Question 2826,dishes,dish,plural,JP
Question 2829,colalr,collar,typo,JP
Question 2829,harnass,harness,typo,JP
Question 283,pup,puppy,typo,MH
Question 2830,sit,sits,plural,JP
Question 2831,apple,apples,plural,JP
Question 2831,mangoes,mango,plural,JP
Question 2831,pear,pears,plural,JP
Question 2831,strawberry,strawberries,plural,JP
Question 2831,orange,oranges,plural,JP
Question 2831,plum,plums,plural,JP
Question 2831,peach,peaches,plural,JP
Question 2833,motor-mouth,motormouth,typo,JP
Question 284,teachers,teacher,plural,MH
Question 2840,ax,axe,typo,JP
Question 2843,baliff,bailiff,typo,JP
Question 2845,coooler,cooler,typo,JP
Question 2846,needles,needle,plural,JP
Question 2848,levy,levee,typo,JP
Question 2848,levie,levee,typo,JP
Question 2848,damn,dam,typo,JP
Question 2848,dikes,dike,plural,JP
Question 2849,deet,deer,typo,JP
Question 285,catepillar,caterpillar,typo,MH
Question 285,catapillar,caterpillar,typo,MH
Question 285,catepiller,caterpillar,typo,MH
Question 2851,sddness,sadness,typo,JP
Question 2851,excitment,excitement,typo,JP
Question 2852,tommorow,tomorrow,typo,JP
Question 2852,tody,today,typo,JP
Question 2855,accorn,acorn,typo,JP
Question 2855,acorm,acorn,typo,JP
Question 2856,canceled,cancelled,typo,JP
Question 2856,overe,over,typo,JP
Question 2857,days,day,plural,JP
Question 2862,bandiad,band-aid,typo,JP
Question 2864,whistles,whistle,plural,JP
Question 2864,wistle,whistle,plural,JP
Question 2864,come,coming,tense,JP
Question 2864,horns,horn,plural,JP
Question 2865,dog paddle,dogpaddle,typo,JP
Question 2865,backstoke,backstroke,typo,JP
Question 2869,kids,kid,plural,JP
Question 287,reefs,reef,plural,MH
Question 287,coves,cove,plural,MH
Question 2870,ostritch,ostrich,typo,JP
Question 2870,bluejay,blue jay,typo,JP
Question 2870,pidgeon,pigeon,typo,JP
Question 2872,run,running,tense,JP
Question 2872,turnover,turn over,typo,JP
Question 2872,sputer,sputter,typo,JP
Question 2873,apples,apple,plural,JP
Question 2873,cantaloup,cantaloupe,typo,JP
Question 2873,cherries,cherry,plural,JP
Question 2874,tomotoes,tomatoes,typo,JP
Question 2874,fruits,fruit,plural,JP
Question 2874,canteloupe,cantaloupe,typo,JP
Question 2875,licks,lick,plural,JP
Question 2875,licking,lick,tense,JP
Question 2876,feet,feat,typo,JP
Question 2877,iceburg,iceberg,typo,JP
Question 2879,decorations,decoration,plural,JP
Question 2879,figurines,figurine,plural,JP
Question 2879,bonzai,bonsai,typo,JP
Question 2879,lanteren,lantern,typo,JP
Question 288,instructionsq,instructions,typo,MH
Question 288,plan,plans,plural,MH
Question 2881,peir,pier,typo,JP
Question 2883,obsticle,obstacle,typo,JP
Question 2883,snke,snake,typo,JP
Question 2883,trapezes,trapeze,plural,JP
Question 2884,learning,learn,tense,JP
Question 2885,a apple,an apple,typo,JP
Question 2885,raisens,raisins,typo,JP
Question 2886,suffering,suffer,tense,JP
Question 2887,dalmation,dalmatian,typo,JP
Question 2887,chihuhua,chihuahua,typo,JP
Question 2888,zip up,zip,typo,JP
Question 289,dmi,dim,typo,MH
Question 289,so dim,dim,typo,MH
Question 2890,tireq,tire,typo,JP
Question 2891,teammate,teammates,plural,JP
Question 2891,opponent,opponents,plural,JP
Question 2891,coaches,coach,plural,JP
Question 2891,team mates,teammates,typo,JP
Question 2893,shutter,shudder,typo,JP
Question 2893,dispair,despair,typo,JP
Question 2894,ribs,rib,plural,JP
Question 2894,tibala,tibia,typo,JP
Question 2895,hing,hinge,typo,JP
Question 2897,nitch,niche,typo,JP
Question 2897,caling,calling,typo,JP
Question 2897,nich,niche,typo,JP
Question 2898,widht,width,typo,JP
Question 2898,lenght,length,typo,JP
Question 29,hatches,hatch,plural,MH
Question 29,handles,handle,plural,MH
Question 2900,loss,losses,plural,AZ
Question 2900,failure,failures,plural,AZ
Question 2901,walking,walk,tense,AZ
Question 2901,job,jog,typo,AZ
Question 2901,walkdug,walk,typo,AZ
Question 2901,walked,walk,tense,AZ
Question 2902,digged,dug,tense,AZ
Question 2902,dugged,dug,tense,AZ
Question 2903,teidious,tedious,typo,AZ
Question 2903,strenous,strenuous,typo,AZ
Question 2906,mpouse,mouse,typo,AZ
Question 2908,applepush,apple,typo,AZ
Question 2908,tomatoe,tomato,typo,AZ
Question 2910,legs,leg,plural,AZ
Question 2910,knees,knee,plural,AZ
Question 2912,insominia,insomnia,typo,AZ
Question 2913,bakklava,baklava,typo,AZ
Question 2913,coco,cocoa,typo,JP
Question 2914,golfcourse,gold course,typo,JP
Question 2915,thigs,thighs,typo,AZ
Question 2915,shouldes,shoulders,typo,AZ
Question 2916,purchse,purchase,typo,AZ
Question 2917,advantegeous,advantageous,typo,AZ
Question 2919,god,gods,plural,AZ
Question 2919,idol,idols,plural,AZ
Question 2919,statue,statues,plural,AZ
Question 2919,deity,deities,plural,AZ
Question 2919,leaders,leader,plural,AZ
Question 2923,gentlemen,gentleman,typo,JP
Question 2928,hosue,house,typo,AZ
Question 293,kites,kite,plural,MH
Question 2930,steaks,steak,plural,AZ
Question 2930,adventurere,adventurer,typo,AZ
Question 2931,windmills,windmill,plural,AZ
Question 2931,mills,mill,plural,AZ
Question 2932,prayer,prayers,plural,AZ
Question 2932,belief,beliefs,plural,AZ
Question 2933,scrubb,scrub,typo,AZ
Question 2934,purplr,purple,typo,AZ
Question 2935,shoothe,soothe,typo,AZ
Question 2938,places,place,plural,AZ
Question 2939,capitol,capital,typo,AZ
Question 2939,companies,company,plural,AZ
Question 294,peave,peeve,typo,MH
Question 294,pevee,peeve,typo,MH
Question 294,peeves,peeve,plural,MH
Question 294,pricipal,principal,typo,MH
Question 294,princpal,principal,typo,MH
Question 294,principle,principal,typo,MH
Question 294,robes,robe,plural,MH
Question 2940,juicce,juice,typo,AZ
Question 2940,koolaid,kool-aid,typo,AZ
Question 2940,suace,sauce,typo,AZ
Question 2940,speach,speech,typo,AZ
Question 2941,speach,speech,typo,JP
Question 2945,fench,fence,typo,AZ
Question 2946,defecit,deficit,typo,AZ
Question 2946,catasrophe,catastrophe,typo,JP
Question 2947,humour,humor,typo,AZ
Question 2947,story,stories,plural,AZ
Question 2948,aluminium,aluminum,typo,AZ
Question 2948,alumminum,aluminum,typo,AZ
Question 2949,mut,mutt,typo,AZ
Question 2950,pools,pool,plural,AZ
Question 2952,bushes,bush,plural,AZ
Question 2952,mudd,mud,typo,AZ
Question 2955,durge,dirge,typo,AZ
Question 2955,dirges,dirge,plural,AZ
Question 2955,prosession,procession,typo,AZ
Question 2955,percession,procession,typo,AZ
Question 2956,whole,hole,typo,AZ
Question 2957,erred,err,tense,AZ
Question 2957,loose,lose,typo,AZ
Question 2959,disgard,discard,typo,AZ
Question 2960,cord,chord,typo,AZ
Question 2962,cleaners,cleaner,plural,AZ
Question 2962,laundrymat,laundromat,typo,AZ
Question 2962,drycleaner,dry cleaner,typo,AZ
Question 2963,sing,song,typo,AZ
Question 2968,shel,shell,typo,AZ
Question 2970,glasws,glass,typo,AZ
Question 2971,buttom,button,typo,AZ
Question 2972,chicken pox,chickenpox,typo,AZ
Question 2972,chickenpoxs,chickenpox,typo,AZ
Question 2972,meisels,measles,typo,AZ
Question 2972,flue,flu,typo,AZ
Question 2972,lonelyness,loneliness,typo,AZ
Question 2972,dejavu,deja vu,typo,JP
Question 2972,withdrawl,withdrawal,typo,JP
Question 2973,stones,stone,plural,AZ
Question 2974,mut,mutt,typo,AZ
Question 2974,rascle,rascal,typo,AZ
Question 2975,teeth,teethe,typo,AZ
Question 2978,a hole,holes,plural,AZ
Question 298,signs,sign,plural,MH
Question 298,lights,light,plural,MH
Question 298,signage,sign,typo,MH
Question 298,direction,directions,plural,MH
Question 2981,volly,volley,typo,AZ
Question 2983,`thief,thief,typo,AZ
Question 2983,miscrient,miscreant,typo,AZ
Question 2984,sail,sails,plural,AZ
Question 2984,masts,mast,plural,AZ
Question 2986,theraputic,therapeutic,typo,AZ
Question 2987,riip,rip,typo,AZ
Question 2989,chugging,chug,tense,AZ
Question 2989,drank,drink,tense,AZ
Question 299,brithday,birthday,typo,MH
Question 2991,minds,mind,plural,AZ
Question 2996,duck,ducks,plural,AZ
Question 2996,rabbit,rabbit,plural,AZ
Question 2996,turkeys,turkey,plural,AZ
Question 2996,bear,bears,plural,AZ
Question 2997,bleek,bleak,typo,AZ
Question 2998,chirped,chirp,tense,AZ
Question 2998,chrip,chirp,typo,AZ
Question 2998,sign,sing,typo,AZ
Question 30,name,names,tense,MH
Question 3001,strokes,stroke,plural,MH
Question 3001,rouch,touch,typo,JP
Question 3002,shiney,shiny,typo,MH
Question 3003,wake,awake,typo,MH
Question 3003,awaken,awake,tense,MH
Question 3003,frolick,frolic,typo,JP
Question 3004,knige,knife,typo,MH
Question 3004,envioronment,environment,typo,MH
Question 3004,enviornment,environment,typo,MH
Question 3006,give gift,give,typo,MH
Question 3007,hey,hay,typo,MH
Question 3008,do landscape,landscape,typo,MH
Question 3008,mowing ,mow,tense,MH
Question 3009,tracks,track,plural,MH
Question 3009,divet,divot,typo,JP
Question 301,spices ,spice,plural ,MH
Question 3013,mayonaise,mayonnaise,typo,MH
Question 3014,loving,love,tense,MH
Question 3015,closely,close,tense,MH
Question 3015,dearly,dear,tense,MH
Question 3015,tight,tightly,tense,MH
Question 3015,closee,closely,typo,JP
Question 3016,flu,the flu,typo,MH
Question 3017,elder,elders,plural,MH
Question 3018,airconditioner,air conditioner,typo,MH
Question 3018,air condition,air conditioner,typo,MH
Question 3018,vents,vent,plural,MH
Question 3020,shivvered,shivered,typo,MH
Question 3020,shiver,shivered,tense,MH
Question 3020,shiverd,shivered,typo,MH
Question 3021,seed,seeds,plural,MH
Question 3022,tounge,tongue,typo,MH
Question 3022,lip,lips,plural,MH
Question 3024,sheet,sheets,plural,MH
Question 3024,blanket,blankets,plural,MH
Question 3024,cover,covers,plural,MH
Question 3025,spices,spice,plural,MH
Question 3025,vegetable,vegetables,plural,MH
Question 3026,sandcastles,sandcastle,plural,MH
Question 3026,sand castle,sandcastle,typo,MH
Question 3028,kid,kids,plural,MH
Question 3028,child,children,plural,MH
Question 3028,pet,pets,plural,MH
Question 3029,child,children,plural,MH
Question 3029,chidren,children,typo,MH
Question 3033,convienent,convenient,typo,MH
Question 3033,presitigious,prestigious,typo,MH
Question 3034,attentino,attention,typo,MH
Question 3035,cavities,cavity,plural,MH
Question 3035,absess,abscess,typo,MH
Question 3035,molars,molar,plural,MH
Question 3036,mess,mess with,typo,MH
Question 3037,fourth,four,typo,MH
Question 3038,fingers,finger,plural,MH
Question 3038,writ,wrist,typo,MH
Question 3041,poach,poach them,typo,MH
Question 3041,fry,fry them,typo,MH
Question 3041,parboil,hardboil,typo,MH
Question 3043,exercisel,exercise,typo,MH
Question 3044,snear,sneer,typo,MH
Question 3045,good,good thing,typo,MH
Question 3045,farse,farce,typo,JP
Question 3046,chirping,chirp,tense,MH
Question 3046,singing,sing,tense,MH
Question 3046,sinhg,sing,typo,MH
Question 3047,spinache,spinach,typo,MH
Question 305,guns,gun,plural ,MH
Question 305,dual,duel,typo,MH
Question 305,shootout,shoot out,typo,MH
Question 3051,sizw,size,typo,MH
Question 3052,bathroom,bathroom breaks,typo,MH
Question 3052,exploring,exploration,tense,MH
Question 3054,medal,metals,typo,MH
Question 3054,metal,metals,plural,MH
Question 3055,thiefs,thieves,typo,MH
Question 3056,boiling,boil,tense,MH
Question 3056,blanche,blanch,typo,MH
Question 3058,at home,home,typo,MH
Question 3059,dissapate,dissipate,typo,MH
Question 306,knit,knitted,tense,MH
Question 306,baking,baked,tense,MH
Question 3063,damp,dampness,tense,MH
Question 3063,wet,wetness,tense,MH
Question 3063,infection,infections,plural,MH
Question 3064,cott,cot,typo,JP
Question 3065,thnk,think,typo,MH
Question 3066,sodas,soda,plural,MH
Question 3066,a drink,drinks,plural,MH
Question 3066,juices,juice,plural,MH
Question 3067,terror,terrorize,tense,MH
Question 3067,pilage,pillage,typo,MH
Question 3069,quieten,quiet,typo,MH
Question 3069,shutup,shut up,typo,MH
Question 3021,baloons,balloons,typo,JP
Question 3072,jokes,joke,plural,MH
Question 3072,tones,tone,plural,MH
Question 3073,obo,oboe,typo,JP
Question 3074,autum,autumn,typo,MH
Question 3075,coughing,cough,tense,MH
Question 3075,headaches,headache,plural,MH
Question 3077,armt,army,typo,MH
Question 3077,mote,moat,typo,MH
Question 3082,rythm,rhythm,typo,MH
Question 3083,flooding,flood,tense,MH
Question 3083,blocks,block,plural,MH
Question 3084,couche,couch,typo,MH
Question 309,rudabaga,rutabaga,typo,MH
Question 309,rutabega,rutabaga,typo,MH
Question 309,raddish,radish,typo,MH
Question 31,wath,watch,typo,MH
Question 310,legs,leg,plural ,MH
Question 312,hydralic,hydrolic,typo,MH
Question 312,wench,winch,typo,MH
Question 313,deeds,deed,plural ,MH
Question 315,turns,turn,plural ,MH
Question 315,routes,route,plural ,MH
Question 315,streets,street,plural ,MH
Question 316,accomplise,accomplice,typo,MH
Question 316,accomplis,accomplice,typo,MH
Question 316,accomplc,accomplice,typo,MH
Question 316,allie,ally,typo,MH
Question 316,safety-pin,safety pin,typo,MH
Question 319,aligator,alligator,typo,MH
Question 32,hasp,clasp,typo,MH
Question 320,monstr,monster,typo,MH
Question 322,balbber,blab,typo ,MH
Question 324,poo,poop,typo,MH
Question 327,wiz,whiz,typo,MH
Question 331,dogs,dog,plural ,MH
Question 334,comman,command,typo,MH
Question 335,soup,soups ,plural ,MH
Question 335,foods,food,pural,MH
Question 338,coach,couch,typo,MH
Question 339,had,has,tense,MH
Question 339,does,did,tense,MH
Question 34,flying ,fly,tense,MH
Question 34,flly,fly,typo,MH
Question 34,nests ,nest,plural,MH
Question 34,soaring,soar,tense,MH
Question 340,valleys,valley,plural ,MH
Question 340,lakes,lake,plural ,MH
Question 340,seas,sea,plural ,MH
Question 341,shoe,shoes,plural ,MH
Question 341,jockstrap,jock-strap,typo,MH
Question 343,souvenier,souvenir ,typo,MH
Question 343,sno cone,snow cone,typo,MH
Question 343,snowcone,snow cone,typo,MH
Question 344,sweety,sweetie,typo,MH
Question 344,chipy,chippy,typo,MH
Question 344,soony,sonny,typo,MH
Question 344,dolyl,dolly,typo,MH
Question 345,assigmnet,assignment,typo,MH
Question 345,chorse,chores,typo,MH
Question 345,chore,chores,plural ,MH
Question 347,coup,coop,typo,MH
Question 347,egg,eggs,plural ,MH
Question 349,cayote,coyote,typo,SDW
Question 35,replentish,replenish,typo,MH
Question 35,renourish,nourish,typo,MH
Question 351,buisness,business,typo,SDW
Question 352,slit,slits,plural ,SDW
Question 354,wimper,whimper,typo,SDW
Question 356,physic,physique,typo,SDW
Question 356,appearande,appearance,typo,SDW
Question 358,quick,quickly,tense,SDW
Question 36,rod,rods,plural,MH
Question 36,lure,lures,plural,MH
Question 36,bate,bait,typo,MH
Question 360,teething,teethe,tense,SDW
Question 361,mass,mess,typo,SDW
Question 365,tired,tire,tense,SDW
Question 365,toire,tire,typo,SDW
Question 37,rouse ,ruse,typo,MH
Question 370,peopl,people,typo,SDW
Question 372,laigh,laughter,typo,SDW
Question 373,ghong,gong,typo,SDW
Question 376,prch,porch,typo,SDW
Question 377,birds,bird,plural,SDW
Question 378,colors,color,plural,SDW
Question 378,stitch,stiching,tense,SDW
Question 379,atorms,storms,typo,SDW
Question 38,low cut,cut,typo,MH
Question 38,tears,tear,plural,MH
Question 38,colors,color,plural,MH
Question 38,hem,hemline,typo,MH
Question 38,hole,holes,plural,MH
Question 380,debts,debt,plural,SDW
Question 381,fins,fin,plural,SDW
Question 381,finn,fin,typo,SDW
Question 383,secuirty,security,typo,SDW
Question 384,moldy,mold,tense,SDW
Question 386,chandalier,chandeliers,typo,SDW
Question 386,vases,vase,plural,SDW
Question 388,artritis,arthritis,typo,SDW
Question 388,artritus,arthritis,typo,SDW
Question 388,arthritus,arthritis,typo,SDW
Question 388,athristis,arthritis,typo,SDW
Question 388,arthiritis,arthritis,typo,SDW
Question 388,fibromialgia,myalgia,typo,SDW
Question 391,health,healthy,typo,SDW
Question 391,tone,toned,tense,SDW
Question 391,ft,fit,typo,SDW
Question 393,bash,batch,typo,SDW
Question 395,expiriment,experiment,typo,SDW
Question 396,break,brake,typo,SDW
Question 397,jersy,jersey,typo,SDW
Question 399,qawk,gawk,typo,SDW
Question 4,go on vacation,vacation,tense,MH
Question 40,plate,plates,plural,MH
Question 400,ropes ,rope,plural,MH
Question 403,haircolor,hair color ,typo,MH
Question 405,raining,rain,tense,MH
Question 405,rained,rain,tense,MH
Question 406,meade,mead,typo,MH
Question 406,liqour,liquor,typo,MH
Question 406,thingie,thingy,typo,MH
Question 408,lip,lid,typo,MH
Question 409,mote,moat,typo,MH
Question 41,give out,give,typo,MH
Question 410,times,time,plural,MH
Question 410,distane,distance,typo,MH
Question 412,mis,miss,typo,MH
Question 413,wheelburrow,wheelbarrow,typo,MH
Question 414,tool,tools,plural,MH
Question 414,part,parts,plural,MH
Question 415,presdient,president,typo,MH
Question 416,burb,burp,typo,MH
Question 417,arguement,argument,typo,MH
Question 417,fights,fight,plural,MH
Question 418,jokes,joke,plural,MH
Question 418,gags,gag,plural,MH
Question 418,shows,show,plural,MH
Question 418,commercials,commercial,plural,MH
Question 418,ads,ad,plural,MH
Question 420,safer,safe,tense,MH
Question 421,conartist,con artist,typo,MH
Question 421,cheater,cheat,typo,MH
Question 422,sleak,speak,typo,MH
Question 422,preform,perform,typo,MH
Question 423,quieten,quiet,typo,MH
Question 423,be quiet,quiet,tense,MH
Question 424,lights,light,plural,MH
Question 425,mit,mitt,typo,MH
Question 426,purfume,perfume,typo,MH
Question 427,a lie,lies,plural,MH
Question 429,gene,genes,plural,MH
Question 43,fuzz,fuzziness,tense,MH
Question 43,fuzzy view,fuzziness,typo,MH
Question 43,glich,glitch,typo,MH
Question 43,issue,issues,plural,MH
Question 43,studder,stutter ,typo,MH
Question 432,tread,thread,typo,MH
Question 435,noticable,noticeable ,typo,MH
Question 435,scandilous,scandalous,typo,MH
Question 437,vatch,catch,typo,MH
Question 439,sails,sail,plural,MH
Question 44,cheecks,cheeks,typo,MH
Question 442,avacado,avocado,typo,BM
Question 445,lasagne,lasagna,typo,BM
Question 447,wellbeing,well-being,typo,BM
Question 447,marraige,marriage,typo,BM
Question 449,whant,want,typo,BM
Question 451,meats,meat,plural,BM
Question 451,steaks,steak,plural,BM
Question 458,response,responses,plural,BM
Question 458,speach,speech,typo,BM
Question 458,judgment,judgement,typo,BM
Question 458,response,responses,plural,BM
Question 46,breads,bread,plural,MH
Question 46,doughnuts,donuts,typo,MH
Question 46,breads,bread,plural,MH
Question 460,sistere,sister,typo,BM
Question 461,motorcyle,motorcycle,typo,BM
Question 462,awall,awol,typo,BM
Question 462,rouge,rogue,typo,BM
Question 463,cheif,chief,typo,BM
Question 467,vaugue,vague,typo,BM
Question 467,confussing,confusing,typo,BM
Question 469,jokes,joke,plural,BM
Question 471,cayote,coyote,typo,BM
Question 474,drinks,drink,plural,BM
Question 476,veberance,vibrance,typo,BM
Question 477,tomato,tomatoes,plural,BM
Question 477,tomatos,tomatoes,typo,BM
Question 477,onions,onion,plural,BM
Question 477,radishes,radish,plural,BM
Question 477,raddish,radish,typo,BM
Question 477,tomoatoes,tomatoes,typo,BM
Question 481,caring,care,tense,BM
Question 481,heeding,heed,tense,BM
Question 482,cord,chord,typo,BM
Question 483,abscence,absence,typo,BM
Question 484,to sleep,sleep,tense,BM
Question 486,fly`,fly,typo,BM
Question 486,nests,nest,plural,BM
Question 489,concusion,concussion,typo,BM
Question 489,heart-attack,heart attack,typo,BM
Question 490,swimming,swim,tense,BM
Question 490,approached,approach,tense,BM
Question 491,welcomed,welcome,tense,BM
Question 491,paniced,panicked,typo,BM
Question 492,scrath,scratch,typo,BM
Question 492,brusie,bruise,typo,BM
Question 493,vacume,vacuum,typo,BM
Question 494,job,jog,typo,BM
Question 496,delievered,delivered,typo,BM
Question 496,arrived,arriving,tense,BM
Question 496,shipping,shipped,tense,BM
Question 498,fan,fans,plural,BM
Question 499,chose,choose,typo,BM
Question 50,weidth,width,typo,MH
Question 50,bass,base,typo,MH
Question 50 ,circumfrence,circumference ,typo,MH
Question 500,master,mastered,tense,SDW
Question 500,exceled,excelled,typo,SDW
Question 500,pocessed,posessed,typo,SDW
Question 501,descision,decision,typo,SDW
Question 501,speach,speech,typo,SDW
Question 501,speach.,speech,typo,SDW
Question 502,lose,loss,typo,SDW
Question 503,feet,feat,typo,SDW
Question 506,peak,peck,typo,SDW
Question 509,slitter,slither,typo,SDW
Question 512,ducks,duck,typo,SDW
Question 513,shake,shook,tense,SDW
Question 515,hiccups,hiccup,plural,SDW
Question 518,stero,stereo,typo,SDW
Question 518,stereor,stereo,typo,SDW
Question 518,key,keys,plural,SDW
Question 518,mirror,mirrors,plural,SDW
Question 518,tire,tires,plural,SDW
Question 519,request,requests,plural,SDW
Question 519,demand,demands,plural,SDW
Question 519,naggering,nagging,typo,SDW
Question 519,questioning,questions,tense,SDW
Question 519,calling,calls,tense,SDW
Question 52,poor,pour,typo,MH
Question 52,poor out ,pour ,typo,MH 
Question 521,service,services,plural,BM
Question 522,wove,weaved,tense,BM
Question 522,made`,made,typo,BM
Question 523,tugging,tug,tense,BM
Question 524,ceral,cereal,typo,BM
Question 524,soup0,soup,typo,BM
Question 526,bears,bear,plural,BM
Question 526,man,men,plural,BM
Question 526,scream,screams,plural,BM
Question 526,wolf,wolves,plural,BM
Question 526,yelling,yells,plural,BM
Question 526,howl,howls,plural,BM
Question 528,woke,awoke,tense,BM
Question 528,awakened,awoke,tense,BM
Question 53,onions,onion,plural,MH
Question 53,spice,spices,plural,MH
Question 53,seasonings,seasoning,plural,MH
Question 53,veggies,vegetables,typo,MH
Question 53,mushrooms,mushroom,plural,MH
Question 531,trueq,true ,typo,MH
Question 531,vauge,vague,typo,MH
Question 531,vage,vague,typo,MH
Question 533,load,loaf,typo,MH
Question 534,eage,eagle,typo,MH
Question 535,kid,kids,plural,MH
Question 535,boys,boy,plural,MH
Question 535,teens,teen,plural,MH
Question 536,hygeine,hygiene,typo,MH
Question 538,moves,moved,tense,MH
Question 539,tracks,track,plural,MH
Question 54,crop,crops,plural,MH
Question 54,the land,land,typo,MH
Question 540,masterbate,masturbate,typo,MH
Question 543,blurry,blur,tense,MH
Question 545,dandruf,dandruff,typo,MH
Question 548,bad,badly,tense,MH
Question 55,cleaining ,clean,typo,MH
Question 552,squeegy,squeegee,typo,MH
Question 552,squeegie,squeegee,typo,MH
Question 552,squigee,squeegee,typo,MH
Question 552,squegee,squeegee,typo,MH
Question 552,squeege,squeegee,typo,MH
Question 552,sqeeze,squeegee,typo,MH
Question 556,bane,name,typo,MH
Question 56,set,sat,typo,MH
Question 56,satq,sat,typo,MH
Question 56,sit ,sitting ,tense,MH
Question 560,trainned,trained,typo,BM
Question 562,sqeak,squeak,typo,BM
Question 563,finsih,finish,typo,BM
Question 565,germanate,germinate,typo,BM
Question 566,beams,beam,plural,BM
Question 567,giveout,give out,typo,BM
Question 57 ,lite,lit,typo,MH
Question 571,damn,dam,typo,BM
Question 571,dame,dam,typo,BM
Question 572,racoon,raccoon,typo,BM
Question 575,sweating,sweat,tense,BM
Question 575,diet,dieting,tense,BM
Question 582,tanned,tan,tense,BM
Question 585,perservere,persevere,typo,BM
Question 589,wits,wit,plural,BM
Question 589,witts,wit,typo,BM
Question 589,whit,wit,typo,BM
Question 591,foodd,food,typo,BM
Question 595,villages,village,plural,BM
Question 596,dual,duel,typo,BM
Question 597,shopping,shop,tense,BM
Question 598,weeds,weed,plural,BM
Question 598,we,weed,typo,BM
Question 598,shrubs,shrub,plural,BM
Question 599,scarr,scar,typo,BM
Question 6,emotions,emotion,plural,MH
Question 60,tool,tools,plural,MH
Question 60,part,parts,plural,MH
Question 602,hores,chores,typo,BM
Question 602,chorse,chores,typo,BM
Question 604,sacs,sac,plural,BM
Question 604,sacks,sac,typo,BM
Question 604,fang,fangs,plural,BM
Question 608,tides,tide,plural,BM
Question 609,smoke,smoked,tense,BM
Question 609,meditate,meditated,tense,BM
Question 609,kiss,kissed,tense,BM
Question 609,aloped,eloped,typo,BM
Question 609,drink,drank,tense,BM
Question 609,nap,napped,tense,BM
Question 61,concideration,consideration,typo,MH
Question 610,actor,actors,plural,BM
Question 610,results,result,plural,BM
Question 610,preformance,performance,typo,BM
Question 610,camerman,cameraman,typo,BM
Question 610,edit,editing,tense,BM
Question 611,sgt,sergeant,typo,BM
Question 611,cheif,chief,typo,BM
Question 611,seargent,sergeant,typo,BM
Question 611,a detective,detective,typo,BM
Question 611,sargeant,sergeant,typo,BM
Question 611,a sargeant,sergeant,typo,BM
Question 611,captian,captain,typo,BM
Question 611,sherif,sheriff,typo,BM
Question 612,orginized,organized,typo,BM
Question 615,ob,job,typo,BM
Question 617,remarks,remark,plural,BM
Question 617,jokes,joke,plural,BM
Question 617,comments,comment,plural,BM
Question 62,messsage,message,typo,MH
Question 620,widdle,whittle,typo,MH
Question 620,wittle,whittle,typo,MH
Question 620,chissle,chisel,typo,MH
Question 622,attendent,attendant,typo,MH
Question 622,docor,doctor,typo,MH
Question 622,carer,caregiver,typo,MH
Question 622,assister,assistant,typo,MH
Question 623,bronzse,bronze,typo,MH
Question 623,ores,ore,plural,MH
Question 623,mineral,minerals,plural,MH
Question 625,wiskey,whiskey,typo,MH
Question 628,talkitive,talkative,typo,MH
Question 63,hooks,hook,plural,MH
Question 63 ,bate,bait,typo,MH
Question 630,ear,ears,plural,AZ
Question 630,eye,eyes,plural,AZ
Question 632,bomb,bombing,tense,AZ
Question 632,spry,spray,typo,AZ
Question 632,spree,spray,typo,AZ
Question 633,immensly,immensely,typo,AZ
Question 633,alot,a lot,typo,AZ
Question 634,office,officer,typo,AZ
Question 634,seargent,sergeant,typo,AZ
Question 635,door bell,doorbell,typo,AZ
Question 637,wakl,walk,typo,AZ
Question 638,wine,whine,typo,MH
Question 64,penguins,penguin,plural,MH
Question 64,lepoard,leopard ,typo,MH
Question 640,suce,sauce,typo,MH
Question 640,chesse,cheese,typo,MH
Question 641,piked,puked,typo,MH
Question 641,fall,fell,tense,MH
Question 647,others,other ,plural,MH
Question 65,pepperspray,pepper spray,typo,MH
Question 65,her mace,mace,typo,MH
Question 65,a punch,punches,typo,MH
Question 65,gun,a gun,typo,MH
Question 65 ,guns,a gun,typo,MH
Question 651,sorceerer,sorcerer,typo,AZ
Question 651,rince,prince,typo,AZ
Question 652,time,times,plural,AZ
Question 654,railing,railings,plural,AZ
Question 654,rail,rails,plural,AZ
Question 658,tool,tools,plural,AZ
Question 658,idea,ideas,plural,AZ
Question 659,looser,loser,typo,AZ
